"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]"
"59","AEP TEXAS CENTRAL DIVISION","TEXPO ENERGY","AutoPay E-Plan","0.1370","0.1080","0.1040","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","12","175.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-fixed.pdf","False","","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf","https://www.texpoenergy.com/Enroll/Enroll1.aspx","","(877) 839-7657","FALSE","TRUE"
"60","AEP TEXAS CENTRAL DIVISION","TEXPO ENERGY","Clear Blue Skies AutoPay E-Plan","0.1420","0.1130","0.1090","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","12","175.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-fixed.pdf","False","","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf","https://www.texpoenergy.com/Enroll/Enroll1.aspx","","(877) 839-7657","FALSE","TRUE"
"62","AEP TEXAS CENTRAL DIVISION","TXU ENERGY","TXU Energy MarketEdge ","0.1360","0.1220","0.1150","","False","False","2","Indexed","6","0","0.00","http://www.txu.com/ptc/mkted","Save money when natural gas prices are low. Upgrade to another service plan at any time for FREE. Track natural gas prices and know what you're paying for electricity before you get your bill! No early cancellation fees. Sign up today!","http://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf","False","","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AE_ENG.pdf","http://www.txu.com/ptc/mkted","","(855) 847-6135","FALSE","FALSE"
"66","AEP TEXAS CENTRAL DIVISION","YEP","Autopay E-Plan ","0.1240","0.0950","0.0910","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","12","175.00","http://www.yeptexas.com","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"68","AEP TEXAS CENTRAL DIVISION","YEP","AutoPay E-Plan","0.1090","0.0800","0.0760","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","12","1","$0.00","http://www.yeptexas.com","No Special Terms","https://www.yeptexas.com/Docs/yep-tos-flex.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","TRUE","TRUE"
"69","AEP TEXAS CENTRAL DIVISION","YEP","Green Earth Autopay E-plan ","0.1280","0.0990","0.0950","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","12","175.00","http://www.yeptexas.com","No Special Terms","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"159","AEP TEXAS CENTRAL DIVISION","BRILLIANT ENERGY LLC"," Brilliant Freedom 36 Month","0.1510","0.1200","0.1160"," A Minimum Usage Fee of ten dollars and ninety-nine cents ($10.99) for each Customer ESI ID with electricity consumption less than 1,000 kWh per billing cycle.","False","False","1","Fixed","11","36","200.00","http://www.brilliantenergy.com/","*Our most popular product! Brilliant Freedom gives you control. With multiple ways to receive and pay your bills each month, Brilliant Freedom is a perfect electricity plan for all customers. *Sign up with us for 12 months or more and get a $50 gift card by entering the promo code Winter50. Restrictions apply. ","https://docs.brilliantenergy.com/documents/RSEP_20170213_TOSEN.pdf","False","","https://www.mybrilliantenergy.com/agreements/efl/BF/36/P0000/EN","https://www.mybrilliantenergy.com/products/browse/t:AEPC/m:36/p:BF/c:PTC","","(877) 789-8801","FALSE","TRUE"
"525","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Texas Select Variable Plan","0.1350","0.1280","0.1240","$4.99","False","False","0","Variable","9","0","0.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","Promotional Offers - Available Only To First Time Customers","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/TSVPRNG0_509_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"531","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Certified Green Texas Variable Plan","0.1370","0.1300","0.1260","$4.99","False","False","0","Variable","100","0","0.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","No Special Terms","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/CGTVPRNG0_508_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"568","AEP TEXAS CENTRAL DIVISION","JUST ENERGY","RateShield 60","0.1250","0.1180","0.1150","
A $4.95 Base Charge will be charged per ESIID","False","False","1","Fixed","11","60","$75.00 per year ","http://www.justenergy.com/p/ptc/","Available for new customers only. This program includes additional fees. Please refer to the facts label for additional details. Call our New Customer Hotline 1-877-587-8674.","http://bit.ly/1dLfe7m","False","","http://bit.ly/2hJijeW","http://www.justenergy.com/p/ptc","","(866) 587-8674","FALSE","TRUE"
